도로(가로)명,주소,세부위치,수거 쓰레기 종류,형태,수거 담당자
왕십리로,서울특별시 성동구 성수동1가 656-3,서울숲역 2번출구 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 성수동1가 661-2,버스 정류장 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
아차산로,서울특별시 성동구 성수동1가 656-1731,버스 정류장 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
고산자로,서울특별시 성동구 행당동192-29  ,성동샤르망 오피스텔 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 하왕십리동700 ,센트라스130동 횡단보도 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 행당동286-70  ,NH농협은행,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 도선동53, 한성아펠타워 횡단보도 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
아차산로,서울특별시 성동구 성수동2가302-5 ,대왕금속 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
아차산로,서울특별시 성동구 성수동1가656-766,뚝섬역5번출구앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 성수동1가656-75,에스콰이어빌딩 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 금호동3가373-1 , 행복이열리는약국 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 금호동4가593  ,네일슈가 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 금호동4가198 ,서울숲푸르지오 상가 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 옥수동285-85 ,기아자동차 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 옥수동 244-3 ,블루클럽 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 옥수동262-12 ,전주행 식당 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 옥수동447-4 ,홈플러스마트 앞,일반+담배꽁초 ,일반 사각 쓰레기통,가로환경미화원
왕십리광장로,서울특별시 성동구 행당동192-8 ,왕십리2호선3번출구 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
고산자로,서울특별시 성동구 마장동523-4 ,대명자동차 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
고산자로,서울특별시 성동구 마장동568-19  ,브이쿨렌트카 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
고산자로,서울특별시 성동구 행당동322-175 ,오렌지동물병원 버스 정류장 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 응봉동200-1, 파리바게뜨 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
고산자로,서울특별시 성동구 응봉동228-20 ,성진바이크 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 행당동133-5 ,대원공인중개사 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
행당로,서울특별시 성동구 금호동1가167-35 ,드림인테리어 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
금호로,서울특별시 성동구 금호동1가103 ,위드미마트 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
금호로,서울특별시 성동구 금호동1가179-59 ,신흥카센타 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
금호로,서울특별시 성동구 금호동1가1797-1, 태능숯불갈비 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 금호동4가145 ,늑대와여우컴퓨터 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
마조로,서울특별시 성동구 행당동19-100 ,(팅커벨상가)버스정류장 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
마조로,서울특별시 성동구 마장동388-2 ,버스 정류장 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
마장로,서울특별시 성동구 마장동773-2,SC제일은행 마장역1번출구 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
천호대로,서울특별시 성동구 용답동1-2 ,용답동 파리바케뜨 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
천호대로,서울특별시 성동구 용답동232-1, CU편의점 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
천호대로,서울특별시 성동구 용답동235-5 ,육대장 앞 ,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
아차산로,서울특별시 성동구 성수동2가300-1 ,성수역2번출구 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
광나루로,서울특별시 성동구 송정동81-16 , 센스빌오피스텔 앞,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
동일로,서울특별시 성동구 송정동 90-7,버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
독서당로,서울특별시 성동구 독서당로 173,버스 정류장 옆,일반쓰레기,일반 사각 쓰레기통,가로환경미화원
마조로,서울특별시 성동구 마조로58,편의점 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
고산자로,서울특별시 성동구 고산자로 339,횡단보도 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
고산자로,서울특별시 성동구 고산자로 281-,편의점 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 왕십리로 280,횡단보도 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 왕십리로 320-1,횡단보도 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 왕십리로 49,횡단보도 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 상왕십리역 1-1주변,횡단보도 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
무학로,서울특별시 성동구 무학로 2,횡단보도 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 왕십리로 363-1,편의점 주변,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
고산자로,서울특별시 성동구 고산자로 4-5,편의점 주변,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
행당로,서울특별시 성동구 행당로 2-11,도로(가로)변,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
금호로,서울특별시 성동구 금호로 158,횡단보도 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
행당로,서울특별시 성동구 행당로 6-6,횡단보도 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 왕십리로 12-9,횡단보도 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
동일로,서울특별시 성동구 동일로 173,횡단보도 옆,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
뚝섬로,서울특별시 성동구 뚝섬로 310,편의점 주변,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
뚝섬로,서울특별시 성동구 뚝섬로 436,편의점 주변,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
왕십리로,서울특별시 성동구 왕십리로 89,횡단보도 옆(성동구종합체육센터),담배꽁초 수거용,원형 쓰레기통,가로환경미화원
성수이로,서울특별시 성동구 성수이로 118,횡단보도 옆(라성빌딩),담배꽁초 수거용,원형 쓰레기통,가로환경미화원
아차산로,서울특별시 성동구 아차산로 85-1,편의점 주변,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
성수이로,서울특별시 성동구 성수이로 108,편의점 주변,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
아차산로,서울특별시 성동구 아차산로 49,편의점 주변,담배꽁초 수거용,원형 쓰레기통,가로환경미화원
