No,주소,경도,위도,상태,세부위치,설치장소설명,형태,담당,관리기관 번호
70,서울특별시 용산구 보성여중고입구(후암약수터방면) 버스정류장(03-171),126.9804724,37.53114116,인근좌표,서울특별시 용산구 보성여중고입구(후암약수터방면) 버스정류장(03-171),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
71,서울특별시 용산구 남산체육관(하얏트호텔방면) 버스정류장(03-174),126.9804724,37.53114116,인근좌표,서울특별시 용산구 남산체육관(하얏트호텔방면) 버스정류장(03-174),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
72,서울특별시 용산구 하얏트 호텔(남산체육관방면) 버스정류장(03-175)이광희뷰티크건너편,126.9804724,37.53114116,인근좌표,서울특별시 용산구 하얏트 호텔(남산체육관방면) 버스정류장(03-175)이광희뷰티크건너편,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
73,서울특별시 용산구 하얏트 호텔(서울시중부기술교육원 블루스퀘어방면) 버스정류장(03-176),126.9804724,37.53114116,인근좌표,서울특별시 용산구 하얏트 호텔(서울시중부기술교육원블루스퀘어방면) 버스정류장(03-176),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
74,서울특별시 용산구 보성여중고입구(용암초등학교 이태원2동주민센터방면) 버스정류장(용산2가동주민센타올라오는계단끝)(03-172),126.9804724,37.53114116,인근좌표,서울특별시 용산구 보성여중고입구(용암초등학교이태원2동주민센터방면) 버스정류장(용산2가동주민센타올라오는계단끝)(03-172),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
75,서울특별시 용산구 LG유플러스앞 횡단보도(도심),126.9804724,37.53114116,인근좌표,서울특별시 용산구 LG유플러스앞 횡단보도(도심),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
76,서울특별시 용산구 한강로 2가 222-5(한강로 블루컷앞),126.9664962,37.52734784,정좌표,서울특별시 용산구 한강로 2가 222-5(한강로 블루컷앞),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
77,서울특별시 용산구 한강로 2가 222-5(한강로 블루컷 건너편 용산역방향 횡단보도),126.9664962,37.52734784,정좌표,서울특별시 용산구 한강로 2가 222-5(한강로 블루컷 건너편 용산역방향 횡단보도),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
78,서울특별시 용산구 용산우체국앞( 택시정류장앞 ),126.9804724,37.53114116,인근좌표,서울특별시 용산구 용산우체국앞( 택시정류장앞 ),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
79,서울특별시 용산구 신용산역 마을버스정류장(03-561),126.9804724,37.53114116,인근좌표,서울특별시 용산구 신용산역 마을버스정류장(03-561),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
80,서울특별시 용산구 KT 용산지점 마을버스정류장(03-564) 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 KT 용산지점 마을버스정류장(03-564) 횡단보도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
81,서울특별시 용산구 KT 앞 중앙버스정류장 횡단보도(피터팬부동산),126.9804724,37.53114116,인근좌표,서울특별시 용산구 KT 앞 중앙버스정류장 횡단보도(피터팬부동산),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
82,서울특별시 용산구 숙대입구역 버스정류장(03-229),126.9804724,37.53114116,인근좌표,서울특별시 용산구 숙대입구역 버스정류장(03-229),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
83,서울특별시 용산구 삼각지 안전지대 횡단보도 (LG자이아파트 앞 ),126.9804724,37.53114116,인근좌표,서울특별시 용산구 삼각지 안전지대 횡단보도 (LG자이아파트 앞 ),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
84,서울특별시 용산구 아웃백스테이크하우스 남영점앞,126.9804724,37.53114116,인근좌표,서울특별시 용산구 아웃백스테이크하우스 남영점앞,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
85,서울특별시 용산구 신한은행 숙명여대입구역점앞(서울역방면),126.9804724,37.53114116,인근좌표,서울특별시 용산구 신한은행 숙명여대입구역점앞(서울역방면),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
86,서울특별시 용산구 갈월동 갑을빌딩 앞(왕십리뉴타운1구역모델하우스),126.9715704,37.54493279,인근좌표,서울특별시 용산구 갈월동 갑을빌딩 앞(왕십리뉴타운1구역모델하우스),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
87,서울특별시 용산구 갈월동 숙대입구 지하철역 9번출구앞,126.9719143,37.54841679,정좌표,서울특별시 용산구 갈월동 숙대입구 지하철역 9번출구앞,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
88,서울특별시 용산구 숙명여대 중앙버스정류장(롯데리아 앞),126.9804724,37.53114116,인근좌표,서울특별시 용산구 숙명여대 중앙버스정류장(롯데리아 앞),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
89,서울특별시 용산구 남영역 고려빌딩 앞 (우),126.9804724,37.53114116,인근좌표,서울특별시 용산구 남영역 고려빌딩 앞 (우),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
90,서울특별시 용산구 게이트웨이타워 버스정류장(03-198) 옆 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 게이트웨이타워 버스정류장(03-198) 옆 횡단보도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
91,서울특별시 용산구 남영역 마을버스정류장 (03-535),126.9804724,37.53114116,인근좌표,서울특별시 용산구 남영역 마을버스정류장 (03-535),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
92,서울특별시 용산구 남영역 앞 횡단보도,126.9804724,37.53114116,인근좌표,서울특별시 용산구 남영역 앞 횡단보도,, 일반쓰레기수거용 ,자원순환과,02-2199-7302
93,서울특별시 용산구 한강로2가 225-6(용산M치과의원 건너편 횡단보도),126.9668087,37.527687,정좌표,서울특별시 용산구 한강로2가 225-6(용산M치과의원 건너편 횡단보도),, 일반쓰레기수거용 ,자원순환과,02-2199-7302
