No,주소(address),경도,위도,상태
868,(홍대입구역 2번출구),?,?,실패
870,(홍대입구역 2번출구),?,?,실패
885,(합정역6번출구 횡단보도 건너),?,?,실패
993,14-288,?,?,실패
