No,주소,경도,위도,상태,세부위치,설치장소설명,형태,담당,관리기관 번호
72,서울특별시 성동구 성수동1가 656-1731,127.0451168,37.54774468,정좌표,서울특별시 성동구 성수동1가 656-1731 버스 정류장 앞,,일반쓰레기,가로환경미화원,
73,서울특별시 성동구 행당동192-29  ,127.0367858,37.5649145,정좌표,서울특별시 성동구 행당동192-29   성동샤르망 오피스텔 앞,,일반쓰레기,가로환경미화원,
74,서울특별시 성동구 하왕십리동700 ,127.0285914,37.5669062,인근좌표,서울특별시 성동구 하왕십리동700  센트라스130동 횡단보도 앞,,일반+담배꽁초 ,가로환경미화원,
75,서울특별시 성동구 행당동286-70  ,127.0340429,37.56184911,정좌표,서울특별시 성동구 행당동286-70   NH농협은행,,일반+담배꽁초 ,가로환경미화원,
76,서울특별시 성동구 도선동53,127.0340422,37.56249991,정좌표,서울특별시 성동구 도선동53  한성아펠타워 횡단보도 앞,,일반+담배꽁초 ,가로환경미화원,
77,서울특별시 성동구 성수동2가302-5 ,127.052107,37.54539354,정좌표,서울특별시 성동구 성수동2가302-5  대왕금속 앞,,일반쓰레기,가로환경미화원,
78,서울특별시 성동구 성수동1가656-766,127.0484472,37.54651001,정좌표,서울특별시 성동구 성수동1가656-766 뚝섬역5번출구앞,,일반쓰레기,가로환경미화원,
79,서울특별시 성동구 성수동1가656-75,127.0441603,37.54781895,정좌표,서울특별시 성동구 성수동1가656-75 에스콰이어빌딩 앞,,일반쓰레기,가로환경미화원,
80,서울특별시 성동구 금호동3가373-1 ,127.0224447,37.54834395,정좌표,서울특별시 성동구 금호동3가373-1   행복이열리는약국 앞,,일반+담배꽁초 ,가로환경미화원,
81,서울특별시 성동구 금호동4가593  ,127.0210159,37.54763176,정좌표,서울특별시 성동구 금호동4가593   네일슈가 앞,,일반+담배꽁초 ,가로환경미화원,
82,서울특별시 성동구 금호동4가198 ,127.0249897,37.54669724,인근좌표,서울특별시 성동구 금호동4가198  서울숲푸르지오 상가 앞,,일반+담배꽁초 ,가로환경미화원,
83,서울특별시 성동구 옥수동285-85 ,127.014552,37.54347421,정좌표,서울특별시 성동구 옥수동285-85  기아자동차 앞,,일반+담배꽁초 ,가로환경미화원,
84,서울특별시 성동구 옥수동 244-3 ,127.0125358,37.54256696,정좌표,서울특별시 성동구 옥수동 244-3  블루클럽 앞,,일반쓰레기,가로환경미화원,
85,서울특별시 성동구 옥수동262-12 ,127.013007,37.54284878,정좌표,서울특별시 성동구 옥수동262-12  전주행 식당 앞,,일반+담배꽁초 ,가로환경미화원,
86,서울특별시 성동구 옥수동447-4 ,127.0107995,37.54127699,정좌표,서울특별시 성동구 옥수동447-4  홈플러스마트 앞,,일반+담배꽁초 ,가로환경미화원,
87,서울특별시 성동구 행당동192-8 ,127.0362753,37.56168244,정좌표,서울특별시 성동구 행당동192-8  왕십리2호선3번출구 앞,,일반쓰레기,가로환경미화원,
88,서울특별시 성동구 마장동523-4 ,127.0383182,37.57110996,정좌표,서울특별시 성동구 마장동523-4  대명자동차 앞,,일반쓰레기,가로환경미화원,
89,서울특별시 성동구 마장동568-19  ,127.0370653,37.56900011,정좌표,서울특별시 성동구 마장동568-19   브이쿨렌트카 앞,,일반쓰레기,가로환경미화원,
90,서울특별시 성동구 행당동322-175 ,127.033919,37.55616826,정좌표,서울특별시 성동구 행당동322-175  오렌지동물병원 버스 정류장 앞,,일반쓰레기,가로환경미화원,
91,서울특별시 성동구 응봉동200-1,127.0310804,37.54988721,정좌표,서울특별시 성동구 응봉동200-1  파리바게뜨 앞,,일반쓰레기,가로환경미화원,
92,서울특별시 성동구 응봉동228-20 ,127.0355011,37.55166787,정좌표,서울특별시 성동구 응봉동228-20  성진바이크 앞,,일반쓰레기,가로환경미화원,
93,서울특별시 성동구 행당동133-5 ,127.0369552,37.55889305,정좌표,서울특별시 성동구 행당동133-5  대원공인중개사 앞,,일반쓰레기,가로환경미화원,
94,서울특별시 성동구 금호동1가167-35 ,127.0238981,37.55578504,정좌표,서울특별시 성동구 금호동1가167-35  드림인테리어 앞,,일반쓰레기,가로환경미화원,
95,서울특별시 성동구 금호동1가103 ,127.0200959,37.55610614,정좌표,서울특별시 성동구 금호동1가103  위드미마트 앞,,일반쓰레기,가로환경미화원,
96,서울특별시 성동구 금호동1가179-59 ,127.0243896,37.55376167,정좌표,서울특별시 성동구 금호동1가179-59  신흥카센타 앞,,일반쓰레기,가로환경미화원,
97,서울특별시 성동구 금호동1가1797-1,127.026225,37.54927459,정좌표,서울특별시 성동구 금호동1가1797-1  태능숯불갈비 앞,,일반쓰레기,가로환경미화원,
98,서울특별시 성동구 금호동4가145 ,127.0240583,37.54797416,정좌표,서울특별시 성동구 금호동4가145  늑대와여우컴퓨터 앞,,일반쓰레기,가로환경미화원,
99,서울특별시 성동구 행당동19-100 ,127.0405412,37.55870683,정좌표,서울특별시 성동구 행당동19-100  (팅커벨상가)버스정류장 앞,,일반쓰레기,가로환경미화원,
100,서울특별시 성동구 마장동388-2 ,127.0419098,37.56303153,정좌표,서울특별시 성동구 마장동388-2  버스 정류장 앞,,일반쓰레기,가로환경미화원,
101,서울특별시 성동구 마장동773-2,127.0414486,37.5656814,정좌표,서울특별시 성동구 마장동773-2 SC제일은행 마장역1번출구 앞,,일반쓰레기,가로환경미화원,
102,서울특별시 성동구 용답동1-2 ,127.0545299,37.56497166,정좌표,서울특별시 성동구 용답동1-2  용답동 파리바케뜨 앞,,일반쓰레기,가로환경미화원,
