No(line_no),주소(address),경도(longitute),위도(latitude),좌표값(status),설치장소상세(address_detail),설치장소타입(address_type),쓰레기통 형태(trash_type),관할기관(gov),관할기관연락처(gov_num)
31,서울특별시 강서구 공항대로 등촌3동 한국가스공사16-109,126.8495719,37.56322768,인근좌표,한국가스공사16-109,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
32,서울특별시 강서구 공항대로 우장산동 발산역16-112,126.809,37.56125613,인근좌표,발산역16-112,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
33,서울특별시 강서구 공항대로 우장산동 발산역16-112,126.809,37.56125613,인근좌표,발산역16-112,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
34,서울특별시 강서구 공항대로 공항동 송정역16-116,126.809,37.56125613,인근좌표,송정역16-116,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
35,서울특별시 강서구 공항대로 공항동 송정역16-116,126.809,37.56125613,인근좌표,송정역16-116,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
36,서울특별시 강서구 공항대로 가양1동 발산역9번출구,126.8079513,37.56139871,인근좌표,발산역9번출구,지하철입구, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
37,서울특별시 강서구 공항대로 공항동 송정역1번출구,126.8079513,37.56139871,인근좌표,송정역1번출구,지하철입구, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
38,서울특별시 강서구 공항대로 공항동 송정역1번출구,126.8079513,37.56139871,인근좌표,송정역1번출구,지하철입구, 재활용수거  ,서울시 강서구청,02-2600-4067
39,서울특별시 강서구 공항대로 염창동 서울특별시 강서구보건소 앞,126.8603264,37.55268326,인근좌표,서울특별시 강서구보건소 앞,다중집합장소, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
40,서울특별시 강서구 공항대로 염창동 서울특별시 강서구보건소 앞,126.8603264,37.55268326,인근좌표,서울특별시 강서구보건소 앞,다중집합장소, 재활용수거  ,서울시 강서구청,02-2600-4067
41,서울특별시 강서구 공항대로 염창동 도레미빌딩앞,126.8603264,37.55268326,인근좌표,도레미빌딩앞,다중집합장소, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
42,서울특별시 강서구 공항대로 등촌1동 등촌삼거리,126.8079513,37.56139871,인근좌표,등촌삼거리,다중집합장소, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
43,서울특별시 강서구 공항대로 등촌1동 등촌삼거리,126.8079513,37.56139871,인근좌표,등촌삼거리,다중집합장소, 재활용수거  ,서울시 강서구청,02-2600-4067
44,서울특별시 강서구 공항대로 공항동 송정역 4번출구앞,126.8079513,37.56139871,인근좌표,송정역 4번출구앞,지하철입구, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
45,서울특별시 강서구 공항대로 공항동 송정역 4번출구앞,126.8079513,37.56139871,인근좌표,송정역 4번출구앞,지하철입구, 재활용수거  ,서울시 강서구청,02-2600-4067
46,서울특별시 강서구 공항대로 공항동 송정초등학교 앞,126.8603264,37.55268326,인근좌표,송정초등학교 앞,다중집합장소, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
47,서울특별시 강서구 공항대로 공항동 송정초등학교 앞,126.8603264,37.55268326,인근좌표,송정초등학교 앞,다중집합장소, 재활용수거  ,서울시 강서구청,02-2600-4067
48,서울특별시 강서구 공항대로 등촌1동 정보화진흥공단,126.8079513,37.56139871,인근좌표,정보화진흥공단,다중집합장소, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
49,서울특별시 강서구 공항대로 등촌1동 하이웨이주유소건너,126.8079513,37.56139871,인근좌표,하이웨이주유소건너,다중집합장소, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
50,서울특별시 강서구 공항대로 등촌1동 하이웨이주유소건너,126.8079513,37.56139871,인근좌표,하이웨이주유소건너,다중집합장소, 재활용수거  ,서울시 강서구청,02-2600-4067
51,서울특별시 강서구 공항대로 염창동 서울특별시 강서구평생학습관 앞,126.8603264,37.55268326,인근좌표,서울특별시 강서구평생학습관 앞,다중집합장소, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
52,서울특별시 강서구 공항대로 염창동 서울특별시 강서구평생학습관 앞,126.8603264,37.55268326,인근좌표,서울특별시 강서구평생학습관 앞,다중집합장소, 재활용수거  ,서울시 강서구청,02-2600-4067
53,서울특별시 강서구 공항대로45길 등촌1동 골프장16-558,126.8541071,37.55581621,인근좌표,골프장16-558,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
54,서울특별시 강서구 공항대로 공항동 송정역(중앙차로),126.8603264,37.55268326,인근좌표,송정역(중앙차로),버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
55,서울특별시 강서구 공항대로 공항동 송정역(중앙차로),126.8603264,37.55268326,인근좌표,송정역(중앙차로),버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
56,서울특별시 강서구 금낭화로 방화1동 국민은행방화동지점,126.8115562,37.56546347,정좌표,국민은행방화동지점,다중집합장소, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
57,서울특별시 강서구 금낭화로 방화1동 국민은행방화동지점,126.8115562,37.56546347,정좌표,국민은행방화동지점,다중집합장소, 재활용수거  ,서울시 강서구청,02-2600-4067
58,서울특별시 강서구 금낭화로 방화3동 국립국어원16-133,126.8229807,37.58474457,인근좌표,국립국어원16-133,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
59,서울특별시 강서구 금낭화로 방화3동 국립국어원16-133,126.8229807,37.58474457,인근좌표,국립국어원16-133,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
60,서울특별시 강서구 등촌로 등촌2동 영일고등학교16-173,126.8495719,37.56322768,인근좌표,영일고등학교16-173,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
61,서울특별시 강서구 등촌로 등촌2동 대일고등학교16-176,126.8495719,37.56322768,인근좌표,대일고등학교16-176,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
62,서울특별시 강서구 등촌로 등촌2동 대일고등학교16-176,126.8495719,37.56322768,인근좌표,대일고등학교16-176,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
63,서울특별시 강서구 등촌로 화곡4동 목동사거리16-179,126.8635379,37.53028723,인근좌표,목동사거리16-179,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
64,서울특별시 강서구 등촌로 화곡4동 목동사거리16-179,126.8635379,37.53028723,인근좌표,목동사거리16-179,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
65,서울특별시 강서구 방화대로 방화1동 세민정보고등학교16-306,126.8229807,37.58474457,인근좌표,세민정보고등학교16-306,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
66,서울특별시 강서구 방화대로 방화1동 세민정보고등학교16-306,126.8229807,37.58474457,인근좌표,세민정보고등학교16-306,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
67,서울특별시 강서구 방화대로 방화1동 신방화역 3번출구,126.8171374,37.5407709,인근좌표,신방화역 3번출구,지하철입구, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
68,서울특별시 강서구 방화대로 방화1동 신방화역 3번출구,126.8171374,37.5407709,인근좌표,신방화역 3번출구,지하철입구, 재활용수거  ,서울시 강서구청,02-2600-4067
69,서울특별시 강서구 방화동로 공항동 공항시장16-119,126.8094039,37.56257112,인근좌표,공항시장16-119,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
70,서울특별시 강서구 방화동로 공항동 국민은행공항동16-120,126.8094039,37.56257112,인근좌표,국민은행공항동16-120,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
71,서울특별시 강서구 방화동로 공항동 국민은행공항동16-120,126.8094039,37.56257112,인근좌표,국민은행공항동16-120,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
72,"서울특별시 강서구 양천로 염창동 염창동아3차,나이아가라호텔16-245",126.8675669,37.55975573,인근좌표,"염창동아3차,나이아가라호텔16-245",버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
73,서울특별시 강서구 양천로 염창동 염창동새마을금고16-248,126.8678066,37.55651929,인근좌표,염창동새마을금고16-248,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
74,"서울특별시 강서구 양천로 염창동 블루나인비지니스센터,이마트16-253",126.8678066,37.55651929,인근좌표,"블루나인비지니스센터,이마트16-253",버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
75,"서울특별시 강서구 양천로 염창동 블루나인비지니스센터,이마트16-254",126.8678066,37.55651929,인근좌표,"블루나인비지니스센터,이마트16-254",버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
76,"서울특별시 강서구 양천로 염창동 블루나인비지니스센터,이마트16-254",126.8678066,37.55651929,인근좌표,"블루나인비지니스센터,이마트16-254",버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
77,서울특별시 강서구 양천로 등촌3동 등촌동대림아파트16-265,126.8495719,37.56322768,인근좌표,등촌동대림아파트16-265,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
78,서울특별시 강서구 양천로 가양1동 가양동CJ주식회사16-267,126.8493649,37.56406266,인근좌표,가양동CJ주식회사16-267,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
79,서울특별시 강서구 양천로 가양1동 겸재정선기념관16-272,126.8493649,37.56406266,인근좌표,겸재정선기념관16-272,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
80,서울특별시 강서구 양천로 가양1동 서남환경공원마곡 16-278,126.8493649,37.56406266,인근좌표,서남환경공원마곡 16-278,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
81,서울특별시 강서구 양천로 방화2동 개화산역16-287,126.8229807,37.58474457,인근좌표,개화산역16-287,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
82,서울특별시 강서구 양천로 방화2동 개화산역16-287,126.8229807,37.58474457,인근좌표,개화산역16-287,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
83,서울특별시 강서구 양천로 가양1동 양천향교역16-309,126.8493649,37.56406266,인근좌표,양천향교역16-309,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
84,서울특별시 강서구 양천로 가양3동 증미역2번출구,126.8568762,37.56374681,인근좌표,증미역2번출구,지하철입구, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
85,서울특별시 강서구 양천로 가양3동 가양역5번출구,126.8045183,37.57275235,인근좌표,가양역5번출구,지하철입구, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
86,서울특별시 강서구 양천로 가양3동 가양역5번출구,126.8045183,37.57275235,인근좌표,가양역5번출구,지하철입구, 재활용수거  ,서울시 강서구청,02-2600-4067
87,서울특별시 강서구 양천로 가양1동 양천향교역 1번출구,126.8574121,37.56465761,인근좌표,양천향교역 1번출구,지하철입구, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
88,서울특별시 강서구 양천로 가양1동 양천향교역 1번출구,126.8574121,37.56465761,인근좌표,양천향교역 1번출구,지하철입구, 재활용수거  ,서울시 강서구청,02-2600-4067
89,서울특별시 강서구 양천로 염창동 염창동주유소앞,126.8461118,37.56523296,인근좌표,염창동주유소앞,다중집합장소, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
90,서울특별시 강서구 양천로 가양1동 양천초등학교16-270,126.8493649,37.56406266,인근좌표,양천초등학교16-270,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
91,서울특별시 강서구 양천로59길 가양3동 서울특별시 강서구구청가양동별관,126.8595655,37.56021178,인근좌표,서울특별시 강서구구청가양동별관,다중집합장소, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
92,서울특별시 강서구 양천로59길 가양3동 서울특별시 강서구구청가양동별관,126.8595655,37.56021178,인근좌표,서울특별시 강서구구청가양동별관,다중집합장소, 재활용수거  ,서울시 강서구청,02-2600-4067
93,서울특별시 강서구 양천로59길 가양3동 서울특별시 강서구구청가양별관16-241,126.8595655,37.56021178,인근좌표,서울특별시 강서구구청가양별관16-241,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
94,서울특별시 강서구 허준로 가양1동 가양한강타운아파트16-227,126.8493649,37.56406266,인근좌표,가양한강타운아파트16-227,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
95,서울특별시 강서구 허준로 가양1동 가양한강타운아파트16-227,126.8493649,37.56406266,인근좌표,가양한강타운아파트16-227,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
96,서울특별시 강서구 허준로 가양2동 가양동천주교회26-232,126.8502261,37.56829769,인근좌표,가양동천주교회26-232,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
97,서울특별시 강서구 허준로 가양2동 공진중학교16-233,126.8493649,37.56406266,인근좌표,공진중학교16-233,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
98,서울특별시 강서구 허준로 가양2동 가양도시개발4단지아파트16-235,126.8568762,37.56374681,인근좌표,가양도시개발4단지아파트16-235,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
99,서울특별시 강서구 허준로 가양2동 대림경동아파트16-235,126.8442094,37.57184609,인근좌표,대림경동아파트16-235,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
100,서울특별시 강서구 허준로 가양2동 가양5단지아파트16-237,126.8568762,37.56374681,인근좌표,가양5단지아파트16-237,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
101,서울특별시 강서구 허준로 가양1동 가양한강타운아파트16-228,126.8493649,37.56406266,인근좌표,가양한강타운아파트16-228,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
102,서울특별시 강서구 허준로 가양1동 가양한강타운아파트16-228,126.8493649,37.56406266,인근좌표,가양한강타운아파트16-228,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
103,서울특별시 강서구 화곡로 등촌3동 마포고등학교16-136,126.8495719,37.56322768,인근좌표,마포고등학교16-136,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
104,서울특별시 강서구 화곡로 등촌3동 마포고등학교16-136,126.8495719,37.56322768,인근좌표,마포고등학교16-136,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
105,서울특별시 강서구 화곡로 등촌1동 경복여상 앞16-137,126.8495719,37.56322768,인근좌표,경복여상 앞16-137,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
106,서울특별시 강서구 화곡로 등촌1동 경복여상 앞16-137,126.8495719,37.56322768,인근좌표,경복여상 앞16-137,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
107,서울특별시 강서구 화곡로 등촌3동 경복여고16-138,126.8495719,37.56322768,인근좌표,경복여고16-138,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
108,서울특별시 강서구 화곡로 등촌3동 경복여고16-138,126.8495719,37.56322768,인근좌표,경복여고16-138,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
109,서울특별시 강서구 화곡로 화곡6동 서울특별시 강서구구청16-139,126.8338705,37.54027844,인근좌표,서울특별시 강서구구청16-139,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
110,서울특별시 강서구 화곡로 화곡6동 서울특별시 강서구구청16-139,126.8338705,37.54027844,인근좌표,서울특별시 강서구구청16-139,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
111,서울특별시 강서구 화곡로 화곡6동 서울특별시 강서구구청16-140,126.8468083,37.54909279,인근좌표,서울특별시 강서구구청16-140,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
112,서울특별시 강서구 화곡로 화곡6동 서울특별시 강서구구청16-140,126.8468083,37.54909279,인근좌표,서울특별시 강서구구청16-140,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
113,서울특별시 강서구 화곡로 화곡6동 우장초등학교16-141,126.8468083,37.54909279,인근좌표,우장초등학교16-141,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
114,서울특별시 강서구 화곡로 화곡6동 우장초등학교16-141,126.8468083,37.54909279,인근좌표,우장초등학교16-141,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
115,서울특별시 강서구 화곡로 화곡6동 우장초등학교16-142,126.8468083,37.54909279,인근좌표,우장초등학교16-142,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
116,서울특별시 강서구 화곡로 화곡본동 폴리텍대학16-144,126.8338705,37.54027844,인근좌표,폴리텍대학16-144,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
117,서울특별시 강서구 화곡로 화곡본동 폴리텍대학16-144,126.8338705,37.54027844,인근좌표,폴리텍대학16-144,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
118,서울특별시 강서구 화곡로 우장산동 화곡시장16-145,126.8468083,37.54909279,인근좌표,화곡시장16-145,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
119,서울특별시 강서구 화곡로 우장산동 화곡시장16-145,126.8468083,37.54909279,인근좌표,화곡시장16-145,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
120,서울특별시 강서구 화곡로 화곡본동 화곡시장16-146,126.8338705,37.54027844,인근좌표,화곡시장16-146,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
121,서울특별시 강서구 화곡로 화곡본동 화곡시장16-146,126.8338705,37.54027844,인근좌표,화곡시장16-146,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
122,서울특별시 강서구 화곡로 화곡1동 화곡역에이스정형외과16-147,126.8468083,37.54909279,인근좌표,화곡역에이스정형외과16-147,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
123,서울특별시 강서구 화곡로 화곡1동 화곡역에이스정형외과16-147,126.8468083,37.54909279,인근좌표,화곡역에이스정형외과16-147,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
124,서울특별시 강서구 화곡로 화곡3동 화곡역에이스정형외과16-148,126.8468083,37.54909279,인근좌표,화곡역에이스정형외과16-148,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
125,서울특별시 강서구 화곡로 화곡3동 화곡역에이스정형외과16-148,126.8468083,37.54909279,인근좌표,화곡역에이스정형외과16-148,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
126,서울특별시 강서구 화곡로 화곡1동 화곡푸르지오16-149,126.8338705,37.54027844,인근좌표,화곡푸르지오16-149,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
127,서울특별시 강서구 화곡로 화곡1동 화곡푸르지오16-149,126.8338705,37.54027844,인근좌표,화곡푸르지오16-149,버스정류장, 재활용수거  ,서울시 강서구청,02-2600-4067
128,서울특별시 강서구 화곡로 화곡본동 제일성심병원16-341,126.8338705,37.54027844,인근좌표,제일성심병원16-341,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
129,서울특별시 강서구 화곡로 우장산동 제일성심병원16-361,126.8468083,37.54909279,인근좌표,제일성심병원16-361,버스정류장, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
130,서울특별시 강서구 화곡로 가양3동 가양역4번출구,126.8338705,37.54027844,인근좌표,가양역4번출구,지하철입구, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
131,서울특별시 강서구 화곡로 가양2동 가양역3번출구쪽,126.8338705,37.54027844,인근좌표,가양역3번출구쪽,지하철입구, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
132,서울특별시 강서구 화곡로 가양2동 가양역3번출구쪽,126.8338705,37.54027844,인근좌표,가양역3번출구쪽,지하철입구, 재활용수거  ,서울시 강서구청,02-2600-4067
133,서울특별시 강서구 화곡로 등촌3동 가양역9번출구,126.8338705,37.54027844,인근좌표,가양역9번출구,지하철입구, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
134,서울특별시 강서구 화곡로 등촌3동 가양역9번출구,126.8338705,37.54027844,인근좌표,가양역9번출구,지하철입구, 재활용수거  ,서울시 강서구청,02-2600-4067
135,"서울특별시 강서구 화곡로 화곡1동 화곡역5,6번출구쪽",126.8338705,37.54027844,인근좌표,"화곡역5,6번출구쪽",지하철입구, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
136,"서울특별시 강서구 화곡로 화곡1동 화곡역5,6번출구쪽",126.8338705,37.54027844,인근좌표,"화곡역5,6번출구쪽",지하철입구, 재활용수거  ,서울시 강서구청,02-2600-4067
137,"서울특별시 강서구 화곡로 화곡3동 화곡역7,8번출구쪽",126.8445501,37.5525274,인근좌표,"화곡역7,8번출구쪽",지하철입구, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
138,"서울특별시 강서구 화곡로 화곡3동 화곡역7,8번출구쪽",126.8445501,37.5525274,인근좌표,"화곡역7,8번출구쪽",지하철입구, 재활용수거  ,서울시 강서구청,02-2600-4067
139,서울특별시 강서구 화곡로 화곡6동 서울특별시 강서구구청앞1,126.8445501,37.5525274,인근좌표,서울특별시 강서구구청앞1,다중집합장소, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
140,서울특별시 강서구 화곡로 화곡6동 서울특별시 강서구구청앞2,126.8338705,37.54027844,인근좌표,서울특별시 강서구구청앞2,다중집합장소, 일반쓰레기 수거용 ,서울시 강서구청,02-2600-4067
